Student_ID,Session_ID,Timestamp,Activity_Type,Outcome
6,159,2024-01-01 01:13:00,Watch Video,Success
6,294,2024-01-01 03:00:00,Forum Discussion,Failure
6,70,2024-01-01 06:11:00,Read Material,Failure
6,73,2024-01-01 07:40:00,Attempt Quiz,Success
6,3,2024-01-01 11:55:00,Forum Discussion,Completed
6,30,2024-01-01 12:58:00,Watch Video,Completed
6,259,2024-01-01 13:29:00,Attempt Quiz,Completed
6,177,2024-01-01 14:54:00,Forum Discussion,Completed
6,265,2024-01-01 16:46:00,Submit Assignment,Success
6,248,2024-01-01 17:17:00,Request Hint,Failure
6,247,2024-01-01 17:24:00,Request Hint,Success
6,102,2024-01-01 17:58:00,Watch Video,In Progress
6,268,2024-01-01 19:21:00,Attempt Quiz,Success
6,146,2024-01-01 20:18:00,Read Material,Completed
6,123,2024-01-02 00:31:00,Request Hint,Failure
6,26,2024-01-02 04:21:00,Forum Discussion,In Progress
6,8,2024-01-02 05:37:00,Forum Discussion,Completed
6,164,2024-01-02 07:16:00,Read Material,Success
6,241,2024-01-02 07:55:00,Attempt Quiz,Failure
7,12,2024-01-01 00:46:00,Watch Video,In Progress
7,10,2024-01-01 02:05:00,Watch Video,Success
7,90,2024-01-01 04:45:00,Read Material,Success
7,161,2024-01-01 05:34:00,Forum Discussion,Completed
7,248,2024-01-01 06:59:00,Attempt Quiz,Failure
7,129,2024-01-01 09:39:00,Forum Discussion,In Progress
7,122,2024-01-01 11:01:00,Attempt Quiz,In Progress
7,8,2024-01-01 16:12:00,Read Material,Completed
7,218,2024-01-01 19:23:00,Attempt Quiz,Failure
7,167,2024-01-01 21:21:00,Attempt Quiz,In Progress
7,147,2024-01-01 22:43:00,Forum Discussion,Completed
7,179,2024-01-01 23:16:00,Watch Video,Failure
7,82,2024-01-01 23:18:00,Attempt Quiz,In Progress
7,146,2024-01-02 02:20:00,Watch Video,Failure
7,236,2024-01-02 02:23:00,Read Material,In Progress
7,55,2024-01-02 05:58:00,Forum Discussion,In Progress
7,280,2024-01-02 07:12:00,Read Material,Completed
8,37,2024-01-01 01:04:00,Attempt Quiz,In Progress
8,231,2024-01-01 01:53:00,Attempt Quiz,Completed
8,28,2024-01-01 01:58:00,Attempt Quiz,Completed
8,226,2024-01-01 05:33:00,Watch Video,Success
8,291,2024-01-01 05:47:00,Request Hint,Failure
8,288,2024-01-01 07:05:00,Submit Assignment,In Progress
8,158,2024-01-01 07:35:00,Request Hint,Completed
8,42,2024-01-01 09:33:00,Request Hint,Success
8,236,2024-01-01 11:15:00,Attempt Quiz,Failure
8,57,2024-01-01 12:33:00,Watch Video,In Progress
8,71,2024-01-01 12:37:00,Forum Discussion,Failure
8,98,2024-01-01 15:06:00,Read Material,Failure
8,297,2024-01-01 15:54:00,Submit Assignment,Failure
8,281,2024-01-01 16:41:00,Submit Assignment,Completed
8,21,2024-01-01 17:32:00,Attempt Quiz,In Progress
8,46,2024-01-01 19:58:00,Forum Discussion,In Progress
8,99,2024-01-01 22:28:00,Read Material,Failure
8,91,2024-01-01 22:45:00,Request Hint,In Progress
8,12,2024-01-01 22:58:00,Forum Discussion,Completed
8,56,2024-01-02 01:54:00,Watch Video,Failure
8,104,2024-01-02 08:22:00,Submit Assignment,Success
8,7,2024-01-02 09:13:00,Read Material,Success
9,173,2024-01-01 00:55:00,Request Hint,Completed
9,41,2024-01-01 01:50:00,Submit Assignment,Failure
9,130,2024-01-01 02:31:00,Forum Discussion,Failure
9,76,2024-01-01 03:20:00,Submit Assignment,In Progress
9,263,2024-01-01 04:56:00,Watch Video,In Progress
9,55,2024-01-01 06:46:00,Submit Assignment,Success
9,68,2024-01-01 08:02:00,Request Hint,In Progress
9,223,2024-01-01 10:24:00,Forum Discussion,Success
9,172,2024-01-01 10:57:00,Forum Discussion,Completed
9,268,2024-01-01 11:06:00,Watch Video,Success
9,108,2024-01-01 17:10:00,Attempt Quiz,In Progress
9,120,2024-01-01 18:14:00,Request Hint,Failure
9,125,2024-01-01 18:29:00,Forum Discussion,Success
9,259,2024-01-01 20:41:00,Forum Discussion,Failure
9,188,2024-01-01 21:08:00,Forum Discussion,In Progress
9,194,2024-01-01 23:43:00,Request Hint,In Progress
9,65,2024-01-01 23:59:00,Request Hint,Failure
9,13,2024-01-02 02:24:00,Forum Discussion,Completed
9,52,2024-01-02 04:28:00,Read Material,In Progress
9,62,2024-01-02 04:52:00,Read Material,Completed
9,222,2024-01-02 04:58:00,Request Hint,In Progress
9,271,2024-01-02 08:46:00,Submit Assignment,Failure
10,178,2024-01-01 08:45:00,Attempt Quiz,Completed
10,7,2024-01-01 08:51:00,Forum Discussion,In Progress
10,277,2024-01-01 09:48:00,Read Material,Success
10,183,2024-01-01 13:04:00,Attempt Quiz,Completed
10,289,2024-01-01 14:45:00,Submit Assignment,In Progress
10,247,2024-01-01 16:35:00,Attempt Quiz,Success
10,150,2024-01-01 18:00:00,Attempt Quiz,Failure
10,275,2024-01-01 18:03:00,Watch Video,Failure
10,233,2024-01-01 19:44:00,Forum Discussion,Success
10,152,2024-01-01 22:33:00,Watch Video,Failure
10,188,2024-01-02 00:38:00,Forum Discussion,Success
10,21,2024-01-02 02:12:00,Forum Discussion,Success
10,92,2024-01-02 03:24:00,Submit Assignment,Completed
10,10,2024-01-02 06:05:00,Forum Discussion,Failure
10,133,2024-01-02 06:57:00,Read Material,Failure
11,231,2024-01-01 01:56:00,Watch Video,Failure
11,153,2024-01-01 04:10:00,Submit Assignment,Completed
11,156,2024-01-01 04:35:00,Attempt Quiz,Failure
11,161,2024-01-01 13:13:00,Request Hint,Failure
11,30,2024-01-01 17:53:00,Forum Discussion,Completed
11,64,2024-01-01 18:42:00,Read Material,Success
11,215,2024-01-01 20:15:00,Submit Assignment,In Progress
11,296,2024-01-01 20:48:00,Attempt Quiz,Failure
11,208,2024-01-01 23:33:00,Request Hint,Failure
11,21,2024-01-02 00:56:00,Watch Video,Completed
11,275,2024-01-02 00:58:00,Submit Assignment,Success
11,226,2024-01-02 04:01:00,Forum Discussion,Success
11,61,2024-01-02 04:47:00,Submit Assignment,Success
11,235,2024-01-02 05:03:00,Read Material,Failure
11,40,2024-01-02 07:14:00,Watch Video,In Progress
11,189,2024-01-02 08:55:00,Forum Discussion,Success
11,148,2024-01-02 09:08:00,Attempt Quiz,Failure
11,206,2024-01-02 09:14:00,Watch Video,Completed
12,270,2024-01-01 02:08:00,Submit Assignment,In Progress
12,176,2024-01-01 03:36:00,Read Material,Completed
12,241,2024-01-01 04:52:00,Forum Discussion,Success
12,173,2024-01-01 08:03:00,Watch Video,Failure
12,13,2024-01-01 09:07:00,Forum Discussion,In Progress
12,188,2024-01-01 09:15:00,Forum Discussion,Success
12,252,2024-01-01 09:25:00,Watch Video,Completed
12,87,2024-01-01 10:03:00,Request Hint,Completed
12,138,2024-01-01 10:20:00,Submit Assignment,Success
12,190,2024-01-01 10:34:00,Attempt Quiz,Completed
12,227,2024-01-01 12:25:00,Attempt Quiz,In Progress
12,220,2024-01-01 14:05:00,Submit Assignment,Completed
12,270,2024-01-01 15:32:00,Submit Assignment,In Progress
12,91,2024-01-01 17:45:00,Request Hint,Failure
12,84,2024-01-01 20:24:00,Forum Discussion,Failure
12,171,2024-01-01 23:37:00,Watch Video,Success
12,162,2024-01-02 00:35:00,Watch Video,In Progress
12,264,2024-01-02 01:38:00,Watch Video,Completed
12,141,2024-01-02 01:49:00,Watch Video,Success
12,101,2024-01-02 02:05:00,Read Material,In Progress
12,264,2024-01-02 03:50:00,Request Hint,Completed
12,117,2024-01-02 06:17:00,Submit Assignment,In Progress
12,199,2024-01-02 06:54:00,Submit Assignment,Success
12,111,2024-01-02 08:10:00,Request Hint,In Progress
13,216,2024-01-01 02:49:00,Read Material,Completed
13,118,2024-01-01 06:57:00,Forum Discussion,Success
13,281,2024-01-01 07:49:00,Request Hint,Success
13,112,2024-01-01 09:24:00,Forum Discussion,In Progress
13,109,2024-01-01 10:05:00,Submit Assignment,Completed
13,28,2024-01-01 10:15:00,Read Material,Success
13,222,2024-01-01 11:03:00,Attempt Quiz,Completed
13,3,2024-01-01 11:37:00,Request Hint,Failure
13,152,2024-01-01 12:55:00,Watch Video,Failure
13,260,2024-01-01 16:31:00,Watch Video,In Progress
13,173,2024-01-01 18:06:00,Attempt Quiz,In Progress
13,277,2024-01-01 19:49:00,Watch Video,In Progress
13,225,2024-01-01 20:26:00,Read Material,Success
13,87,2024-01-01 21:59:00,Read Material,In Progress
13,53,2024-01-02 02:58:00,Read Material,In Progress
13,102,2024-01-02 03:09:00,Forum Discussion,Success
13,17,2024-01-02 03:10:00,Forum Discussion,Success
13,248,2024-01-02 04:41:00,Read Material,Completed
13,137,2024-01-02 05:48:00,Forum Discussion,Success
13,113,2024-01-02 06:21:00,Request Hint,Completed
13,54,2024-01-02 07:31:00,Attempt Quiz,Success
14,238,2024-01-01 00:54:00,Submit Assignment,In Progress
14,228,2024-01-01 01:26:00,Forum Discussion,In Progress
14,108,2024-01-01 02:29:00,Watch Video,In Progress
14,69,2024-01-01 05:29:00,Watch Video,Success
14,272,2024-01-01 07:07:00,Attempt Quiz,In Progress
14,10,2024-01-01 10:48:00,Attempt Quiz,Failure
14,223,2024-01-01 12:15:00,Submit Assignment,Completed
14,84,2024-01-01 14:17:00,Read Material,Success
14,104,2024-01-01 16:01:00,Request Hint,Failure
14,40,2024-01-01 16:09:00,Read Material,Success
14,100,2024-01-01 17:49:00,Watch Video,In Progress
14,50,2024-01-01 18:43:00,Submit Assignment,In Progress
14,38,2024-01-01 19:02:00,Request Hint,Completed
14,216,2024-01-01 23:11:00,Forum Discussion,Completed
14,67,2024-01-01 23:58:00,Submit Assignment,Failure
14,256,2024-01-02 02:21:00,Read Material,In Progress
14,264,2024-01-02 02:38:00,Read Material,Success
14,134,2024-01-02 03:34:00,Submit Assignment,Success
14,15,2024-01-02 04:45:00,Read Material,Completed
14,109,2024-01-02 07:03:00,Forum Discussion,Failure
15,160,2024-01-01 00:02:00,Read Material,Completed
15,251,2024-01-01 00:36:00,Forum Discussion,Completed
15,295,2024-01-01 01:29:00,Attempt Quiz,Completed
15,87,2024-01-01 01:45:00,Attempt Quiz,Success
15,20,2024-01-01 02:33:00,Attempt Quiz,Success
15,12,2024-01-01 02:45:00,Attempt Quiz,Failure
15,142,2024-01-01 07:10:00,Submit Assignment,In Progress
15,82,2024-01-01 07:31:00,Watch Video,Failure
15,70,2024-01-01 12:16:00,Watch Video,Success
15,246,2024-01-01 16:18:00,Watch Video,Completed
15,286,2024-01-01 18:16:00,Request Hint,Success
15,76,2024-01-01 19:09:00,Submit Assignment,Success
15,241,2024-01-01 19:28:00,Submit Assignment,In Progress
15,147,2024-01-01 19:56:00,Attempt Quiz,In Progress
15,146,2024-01-01 21:03:00,Attempt Quiz,Completed
15,24,2024-01-02 02:06:00,Forum Discussion,Failure
15,118,2024-01-02 02:53:00,Request Hint,In Progress
15,135,2024-01-02 03:46:00,Submit Assignment,Failure
15,168,2024-01-02 07:33:00,Watch Video,Completed
15,254,2024-01-02 08:03:00,Read Material,Success
15,123,2024-01-02 08:12:00,Forum Discussion,Failure
15,63,2024-01-02 08:38:00,Request Hint,Success
16,12,2024-01-01 04:11:00,Attempt Quiz,Completed
16,263,2024-01-01 04:46:00,Submit Assignment,Success
16,161,2024-01-01 07:06:00,Attempt Quiz,Completed
16,25,2024-01-01 07:48:00,Attempt Quiz,Completed
16,146,2024-01-01 08:12:00,Forum Discussion,In Progress
16,130,2024-01-01 08:22:00,Request Hint,Failure
16,97,2024-01-01 08:35:00,Submit Assignment,Success
16,183,2024-01-01 08:58:00,Watch Video,Success
16,169,2024-01-01 10:31:00,Watch Video,In Progress
16,269,2024-01-01 10:41:00,Watch Video,Completed
16,111,2024-01-01 12:21:00,Forum Discussion,In Progress
16,230,2024-01-01 12:28:00,Read Material,Failure
16,66,2024-01-01 15:05:00,Request Hint,Completed
16,165,2024-01-01 22:13:00,Read Material,Success
16,183,2024-01-01 23:06:00,Submit Assignment,Success
16,211,2024-01-02 02:13:00,Request Hint,Failure
16,13,2024-01-02 03:01:00,Submit Assignment,Failure
16,175,2024-01-02 03:22:00,Forum Discussion,In Progress
17,265,2024-01-01 04:03:00,Forum Discussion,Success
17,149,2024-01-01 05:36:00,Forum Discussion,Success
17,36,2024-01-01 06:05:00,Forum Discussion,Completed
17,158,2024-01-01 06:44:00,Attempt Quiz,Completed
17,164,2024-01-01 07:52:00,Watch Video,In Progress
17,277,2024-01-01 10:10:00,Submit Assignment,Completed
17,113,2024-01-01 11:00:00,Submit Assignment,Completed
17,256,2024-01-01 11:18:00,Watch Video,Success
17,162,2024-01-01 12:48:00,Attempt Quiz,Completed
17,70,2024-01-01 13:43:00,Watch Video,Failure
17,70,2024-01-01 14:12:00,Read Material,Completed
17,152,2024-01-01 14:47:00,Watch Video,Completed
17,61,2024-01-01 14:49:00,Submit Assignment,Success
17,63,2024-01-01 16:25:00,Read Material,Failure
17,162,2024-01-01 16:30:00,Attempt Quiz,Completed
17,275,2024-01-01 18:13:00,Watch Video,In Progress
17,162,2024-01-01 19:12:00,Submit Assignment,Completed
17,56,2024-01-01 21:26:00,Watch Video,In Progress
17,260,2024-01-02 00:21:00,Submit Assignment,In Progress
17,184,2024-01-02 00:40:00,Submit Assignment,Completed
17,248,2024-01-02 01:24:00,Attempt Quiz,Success
17,107,2024-01-02 01:44:00,Request Hint,Failure
17,293,2024-01-02 02:15:00,Request Hint,Failure
17,216,2024-01-02 02:37:00,Watch Video,Success
17,242,2024-01-02 04:36:00,Watch Video,Success
17,17,2024-01-02 06:24:00,Attempt Quiz,Failure
17,188,2024-01-02 06:53:00,Request Hint,In Progress
17,40,2024-01-02 06:56:00,Forum Discussion,Completed
17,81,2024-01-02 08:19:00,Watch Video,Failure
17,183,2024-01-02 08:43:00,Forum Discussion,In Progress
17,210,2024-01-02 09:19:00,Forum Discussion,In Progress
18,243,2024-01-01 00:50:00,Read Material,Success
18,152,2024-01-01 01:19:00,Attempt Quiz,Failure
18,293,2024-01-01 05:17:00,Forum Discussion,Failure
18,130,2024-01-01 06:28:00,Submit Assignment,In Progress
18,278,2024-01-01 10:55:00,Attempt Quiz,Failure
18,20,2024-01-01 12:12:00,Attempt Quiz,Failure
18,251,2024-01-01 13:10:00,Forum Discussion,Failure
18,107,2024-01-01 16:15:00,Request Hint,Success
18,283,2024-01-01 16:37:00,Read Material,Completed
18,26,2024-01-01 18:58:00,Attempt Quiz,Success
18,109,2024-01-01 22:16:00,Forum Discussion,Success
18,35,2024-01-02 00:14:00,Attempt Quiz,Success
18,237,2024-01-02 02:35:00,Read Material,Failure
18,268,2024-01-02 03:11:00,Submit Assignment,Completed
18,33,2024-01-02 03:37:00,Submit Assignment,In Progress
18,272,2024-01-02 05:13:00,Submit Assignment,Completed
18,153,2024-01-02 08:11:00,Request Hint,In Progress
18,13,2024-01-02 09:01:00,Forum Discussion,Failure
19,213,2024-01-01 03:51:00,Attempt Quiz,In Progress
19,281,2024-01-01 04:22:00,Forum Discussion,Success
19,51,2024-01-01 04:25:00,Submit Assignment,Completed
19,173,2024-01-01 04:58:00,Watch Video,Failure
19,102,2024-01-01 06:00:00,Request Hint,Success
19,289,2024-01-01 07:51:00,Attempt Quiz,Failure
19,270,2024-01-01 07:54:00,Attempt Quiz,Completed
19,155,2024-01-01 08:52:00,Request Hint,In Progress
19,261,2024-01-01 10:17:00,Request Hint,Failure
19,111,2024-01-01 10:22:00,Forum Discussion,Completed
19,29,2024-01-01 11:26:00,Read Material,Success
19,278,2024-01-01 11:33:00,Attempt Quiz,Completed
19,209,2024-01-01 12:09:00,Watch Video,Success
19,277,2024-01-01 15:20:00,Request Hint,In Progress
19,225,2024-01-01 17:41:00,Forum Discussion,Success
19,42,2024-01-01 22:15:00,Submit Assignment,Success
19,260,2024-01-01 23:22:00,Watch Video,Success
19,163,2024-01-01 23:23:00,Attempt Quiz,In Progress
19,157,2024-01-02 01:39:00,Watch Video,Failure
19,39,2024-01-02 05:39:00,Watch Video,Completed
19,272,2024-01-02 07:56:00,Attempt Quiz,Completed
20,107,2024-01-01 04:19:00,Watch Video,Completed
20,271,2024-01-01 04:26:00,Submit Assignment,Completed
20,277,2024-01-01 05:02:00,Submit Assignment,In Progress
20,108,2024-01-01 05:32:00,Request Hint,In Progress
20,84,2024-01-01 07:03:00,Read Material,Completed
20,19,2024-01-01 11:40:00,Watch Video,Completed
20,14,2024-01-01 12:10:00,Attempt Quiz,Completed
20,219,2024-01-01 17:44:00,Read Material,Completed
20,158,2024-01-01 20:14:00,Forum Discussion,Failure
20,125,2024-01-01 21:50:00,Submit Assignment,Success
20,287,2024-01-01 23:32:00,Request Hint,In Progress
20,54,2024-01-01 23:38:00,Watch Video,In Progress
20,178,2024-01-02 01:12:00,Watch Video,Failure
20,96,2024-01-02 04:11:00,Forum Discussion,Success
20,216,2024-01-02 04:30:00,Request Hint,Completed
20,139,2024-01-02 06:47:00,Forum Discussion,In Progress
20,245,2024-01-02 08:36:00,Watch Video,Success
21,92,2024-01-01 00:05:00,Forum Discussion,Completed
21,143,2024-01-01 00:23:00,Watch Video,Completed
21,87,2024-01-01 00:47:00,Forum Discussion,Completed
21,175,2024-01-01 05:30:00,Submit Assignment,In Progress
21,42,2024-01-01 05:51:00,Read Material,Completed
21,242,2024-01-01 09:46:00,Watch Video,Completed
21,13,2024-01-01 12:03:00,Submit Assignment,Success
21,138,2024-01-01 13:27:00,Forum Discussion,Failure
21,20,2024-01-01 15:21:00,Submit Assignment,In Progress
21,79,2024-01-01 15:28:00,Read Material,In Progress
21,248,2024-01-01 16:58:00,Watch Video,Completed
21,235,2024-01-01 20:52:00,Request Hint,In Progress
21,99,2024-01-01 21:04:00,Request Hint,Success
21,269,2024-01-02 00:55:00,Request Hint,Failure
21,186,2024-01-02 01:56:00,Watch Video,Completed
21,39,2024-01-02 07:50:00,Read Material,Completed
21,283,2024-01-02 09:00:00,Request Hint,Success
22,77,2024-01-01 00:14:00,Submit Assignment,Completed
22,262,2024-01-01 00:27:00,Submit Assignment,In Progress
22,138,2024-01-01 05:42:00,Watch Video,Failure
22,143,2024-01-01 07:23:00,Read Material,In Progress
22,60,2024-01-01 08:17:00,Submit Assignment,Completed
22,213,2024-01-01 15:27:00,Submit Assignment,In Progress
22,156,2024-01-01 16:57:00,Attempt Quiz,Completed
22,62,2024-01-01 18:37:00,Watch Video,Completed
22,67,2024-01-01 21:41:00,Request Hint,Completed
22,37,2024-01-02 00:04:00,Submit Assignment,Failure
22,54,2024-01-02 01:07:00,Request Hint,Failure
22,197,2024-01-02 06:45:00,Forum Discussion,In Progress
22,154,2024-01-02 06:55:00,Submit Assignment,In Progress
22,279,2024-01-02 06:59:00,Forum Discussion,Success
22,30,2024-01-02 07:42:00,Attempt Quiz,Failure
23,257,2024-01-01 02:12:00,Submit Assignment,Success
23,206,2024-01-01 02:44:00,Watch Video,Success
23,158,2024-01-01 04:40:00,Request Hint,Completed
23,300,2024-01-01 06:39:00,Read Material,Success
23,79,2024-01-01 08:01:00,Request Hint,Completed
23,231,2024-01-01 08:44:00,Forum Discussion,In Progress
23,87,2024-01-01 09:59:00,Submit Assignment,Failure
23,152,2024-01-01 10:06:00,Attempt Quiz,In Progress
23,258,2024-01-01 10:40:00,Submit Assignment,Success
23,35,2024-01-01 13:37:00,Attempt Quiz,Failure
23,228,2024-01-01 14:14:00,Watch Video,In Progress
23,5,2024-01-01 15:00:00,Read Material,Completed
23,176,2024-01-01 16:14:00,Read Material,Failure
23,110,2024-01-01 18:02:00,Attempt Quiz,Completed
23,28,2024-01-01 19:07:00,Watch Video,Completed
23,127,2024-01-01 20:20:00,Attempt Quiz,Failure
23,258,2024-01-01 20:49:00,Read Material,In Progress
23,175,2024-01-01 23:20:00,Read Material,In Progress
23,298,2024-01-02 02:16:00,Read Material,Completed
23,141,2024-01-02 06:03:00,Request Hint,In Progress
24,289,2024-01-01 00:12:00,Forum Discussion,In Progress
24,21,2024-01-01 01:39:00,Attempt Quiz,Success
24,53,2024-01-01 03:26:00,Attempt Quiz,In Progress
24,85,2024-01-01 04:05:00,Watch Video,Success
24,214,2024-01-01 05:03:00,Submit Assignment,Success
24,9,2024-01-01 05:06:00,Attempt Quiz,Failure
24,49,2024-01-01 06:14:00,Watch Video,Failure
24,286,2024-01-01 06:35:00,Submit Assignment,Completed
24,104,2024-01-01 06:56:00,Read Material,Success
24,62,2024-01-01 08:59:00,Watch Video,Success
24,65,2024-01-01 09:06:00,Forum Discussion,Failure
24,203,2024-01-01 09:50:00,Attempt Quiz,Success
24,69,2024-01-01 09:58:00,Forum Discussion,Completed
24,260,2024-01-01 12:31:00,Request Hint,Success
24,150,2024-01-01 17:08:00,Forum Discussion,Success
24,272,2024-01-01 17:15:00,Read Material,Completed
24,265,2024-01-01 18:17:00,Read Material,Success
24,157,2024-01-01 21:31:00,Read Material,In Progress
24,57,2024-01-01 23:49:00,Submit Assignment,Failure
24,10,2024-01-02 01:06:00,Submit Assignment,Failure
24,292,2024-01-02 02:40:00,Request Hint,Failure
24,48,2024-01-02 08:09:00,Watch Video,Completed
24,141,2024-01-02 08:33:00,Read Material,Success
25,49,2024-01-01 05:15:00,Request Hint,Success
25,215,2024-01-01 06:29:00,Submit Assignment,In Progress
